Date,Price,Price_diff
2021-03-23,3142.6,12.949999999999818
2021-03-24,3121.1,-21.5
2021-03-25,3064.85,-56.25
2021-03-26,3066.8,1.9500000000002728
2021-03-31,3177.85,19.299999999999727
2021-04-01,3165.0,-12.849999999999909
2021-04-06,3264.7,25.799999999999727
2021-04-07,3271.4,6.700000000000273
2021-04-08,3317.35,45.94999999999982
2021-04-09,3322.25,4.900000000000091
2021-04-13,3104.05,-142.5
2021-04-16,3195.15,-23.799999999999727
2021-04-20,3144.55,-17.25
2021-04-23,3109.5,-9.300000000000182
2021-04-27,3132.0,31.199999999999818
2021-04-28,3124.1,-7.900000000000091
2021-04-29,3115.25,-8.849999999999909
2021-04-30,3035.65,-79.59999999999991
2021-05-04,3049.75,12.75
2021-05-05,3095.7,45.94999999999982
2021-05-06,3111.45,15.75
2021-05-07,3132.9,21.450000000000273
2021-05-11,3122.6,-22.90000000000009
2021-05-12,3087.6,-35.0
2021-05-18,3088.8,19.050000000000182
2021-05-19,3082.0,-6.800000000000182
2021-05-20,3060.0,-22.0
2021-05-21,3080.5,20.5
2021-05-25,3114.0,32.5
2021-05-26,3158.5,44.5
2021-05-27,3180.0,21.5
2021-05-28,3143.6,-36.40000000000009
2021-06-01,3153.0,-6.150000000000091
2021-06-02,3129.45,-23.550000000000182
2021-06-03,3141.25,11.800000000000182
2021-06-04,3143.75,2.5
2021-06-08,3200.15,16.950000000000273
2021-06-09,3200.25,0.09999999999990905
2021-06-10,3216.8,16.550000000000182
2021-06-11,3273.8,57.0
2021-06-15,3262.75,-13.599999999999909
2021-06-16,3274.35,11.599999999999909
2021-06-17,3317.75,43.40000000000009
2021-06-18,3297.3,-20.449999999999818
2021-06-22,3301.2,28.09999999999991
2021-06-23,3261.4,-39.79999999999973
2021-06-24,3373.6,112.19999999999982
2021-06-25,3380.8,7.200000000000273
2021-06-29,3340.85,4.099999999999909
2021-06-30,3345.75,4.900000000000091
2021-07-01,3341.5,-4.25
2021-07-02,3325.45,-16.050000000000182
2021-07-06,3262.3,-58.69999999999982
2021-07-07,3274.95,12.649999999999636
2021-07-08,3258.5,-16.449999999999818
2021-07-09,3208.15,-50.34999999999991
2021-07-13,3187.55,-5.549999999999727
2021-07-14,3214.55,27.0
2021-07-15,3202.95,-11.600000000000364
2021-07-16,3194.8,-8.149999999999636
2021-07-20,3205.8,21.200000000000273
2021-07-23,3212.85,-3.5
2021-07-27,3182.95,-14.600000000000364
2021-07-28,3197.8,14.850000000000364
2021-07-29,3195.8,-2.0
2021-07-30,3167.45,-28.350000000000364
2021-08-03,3284.9,65.5
2021-08-04,3273.95,-10.950000000000273
2021-08-05,3283.95,10.0
2021-08-06,3309.8,25.850000000000364
2021-08-10,3333.9,11.200000000000273
2021-08-11,3344.2,10.299999999999727
2021-08-12,3351.75,7.550000000000182
2021-08-13,3463.4,111.65000000000009
2021-08-17,3553.05,80.10000000000036
2021-08-18,3560.55,7.5
2021-08-24,3613.2,-24.200000000000273
2021-08-25,3659.0,45.80000000000018
2021-08-26,3671.85,12.849999999999909
2021-08-27,3720.15,48.30000000000018
2021-08-31,3786.45,85.14999999999964
2021-09-01,3714.95,-71.5
2021-09-02,3836.75,121.80000000000018
2021-09-03,3842.05,5.300000000000182
2021-09-07,3815.9,-36.09999999999991
2021-09-08,3774.15,-41.75
2021-09-09,3791.4,17.25
2021-09-14,3885.9,40.55000000000018
2021-09-15,3954.55,68.65000000000009
2021-09-16,3903.3,-51.25
2021-09-17,3827.85,-75.45000000000027
2021-09-21,3862.95,39.44999999999982
2021-09-22,3862.15,-0.7999999999997272
2021-09-23,3869.25,7.099999999999909
2021-09-24,3871.3,2.050000000000182
2021-09-28,3779.15,-57.79999999999973
2021-09-29,3791.9,12.75
2021-09-30,3775.55,-16.34999999999991
2021-10-01,3730.2,-45.350000000000364
2021-10-05,3833.3,60.0
2021-10-06,3810.9,-22.40000000000009
2021-10-07,3892.9,82.0
2021-10-08,3935.65,42.75
2021-10-12,3652.85,-32.75
2021-10-13,3655.2,2.349999999999909
2021-10-14,3611.45,-43.75
2021-10-19,3634.15,-13.0
2021-10-20,3608.85,-25.300000000000182
2021-10-21,3532.5,-76.34999999999991
2021-10-22,3498.85,-33.65000000000009
2021-10-26,3482.6,-10.349999999999909
2021-10-27,3489.75,7.150000000000091
2021-10-28,3421.65,-68.09999999999991
2021-10-29,3397.75,-23.90000000000009
2021-11-02,3484.2,7.799999999999727
2021-11-03,3492.25,8.050000000000182
2021-11-04,3508.65,16.40000000000009
2021-11-09,3505.7,2.949999999999818
2021-11-10,3484.3,-21.399999999999636
2021-11-11,3488.2,3.899999999999636
2021-11-12,3526.05,37.850000000000364
2021-11-16,3556.4,3.099999999999909
2021-11-17,3521.9,-34.5
2021-11-18,3475.7,-46.20000000000027
2021-11-23,3464.25,5.849999999999909
2021-11-24,3443.3,-20.949999999999818
2021-11-25,3445.9,2.599999999999909
2021-11-26,3446.85,0.9499999999998181
2021-11-30,3529.15,27.15000000000009
2021-12-01,3577.8,48.65000000000009
2021-12-02,3642.9,65.09999999999991
2021-12-03,3640.45,-2.450000000000273
2021-12-07,3584.5,48.09999999999991
2021-12-08,3626.9,42.40000000000009
2021-12-09,3601.75,-25.15000000000009
2021-12-10,3636.8,35.05000000000018
2021-12-14,3623.8,14.150000000000091
2021-12-15,3570.35,-53.45000000000027
2021-12-16,3581.6,11.25
2021-12-17,3584.35,2.75
2021-12-21,3608.3,51.40000000000009
2021-12-22,3630.75,22.449999999999818
2021-12-23,3662.7,31.949999999999818
2021-12-24,3670.9,8.200000000000273
2021-12-28,3706.55,10.450000000000273
2021-12-29,3694.7,-11.850000000000364
2021-12-30,3733.75,39.05000000000018
2021-12-31,3738.35,4.599999999999909
2022-01-04,3884.75,67.0
2022-01-05,3860.95,-23.800000000000182
2022-01-06,3807.45,-53.5
2022-01-07,3853.5,46.05000000000018
2022-01-11,3915.9,36.05000000000018
2022-01-12,3859.9,-56.0
2022-01-13,3897.9,38.0
2022-01-14,3968.15,70.25
2022-01-18,3990.6,-28.550000000000182
2022-01-19,3914.65,-75.94999999999982
2022-01-20,3826.55,-88.09999999999991
2022-01-21,3833.5,6.949999999999818
2022-01-25,3769.9,-1.449999999999818
2022-01-28,3690.05,40.80000000000018
2022-02-01,3800.65,64.40000000000009
2022-02-02,3856.2,55.54999999999973
2022-02-03,3824.6,-31.59999999999991
2022-02-04,3814.9,-9.699999999999818
2022-02-08,3743.45,-35.55000000000018
2022-02-09,3760.55,17.100000000000364
2022-02-10,3770.35,9.799999999999727
2022-02-11,3694.95,-75.40000000000009
2022-02-15,3817.8,84.05000000000018
2022-02-16,3813.1,-4.700000000000273
2022-02-17,3784.2,-28.90000000000009
2022-02-18,3793.9,9.700000000000273
2022-02-22,3586.4,-133.0
2022-02-23,3563.8,-22.59999999999991
2022-02-24,3401.65,-162.1500000000001
2022-02-25,3520.75,119.09999999999991
2022-03-03,3544.4,-1.75
2022-03-04,3524.35,-20.050000000000182
2022-03-08,3599.95,115.04999999999973
2022-03-09,3632.6,32.65000000000009
2022-03-10,3620.95,-11.650000000000091
2022-03-11,3599.15,-21.799999999999727
2022-03-15,3593.9,-49.09999999999991
2022-03-16,3655.9,62.0
2022-03-17,3672.75,16.84999999999991
2022-03-22,3700.95,74.25
2022-03-23,3712.4,11.450000000000273
2022-03-24,3749.85,37.44999999999982
